Name,Area,Address,Phone,Rating,Review,Total Reviews,Type,Thumbnail,Images,Video,Opening Time,Pincode,Doc ID,Latitude,Longitude,Web URL,Verified,Scraped At
Krishna Hostel,Samosa Lane Akshar Township, Akshar Township,,4.1,,217,,https://content.jdmagicbox.com/comp/nadiad/d6/9999px268.x268.170929192113.r8d6/catalogue/krishna-hostel-nadiad-hostels-cl45q4s98p-250.jpg,"https://content.jdmagicbox.com/comp/nadiad/d6/9999px268.x268.170929192113.r8d6/catalogue/krishna-hostel-nadiad-hostels-cl45q4s98p.jpg
https://content.jdmagicbox.com/comp/nadiad/d6/9999px268.x268.170929192113.r8d6/catalogue/krishna-hostel-nadiad-hostels-x087ijqcy8.jpg
https://content.jdmagicbox.com/comp/nadiad/d6/9999px268.x268.170929192113.r8d6/catalogue/krishna-hostel-nadiad-hostels-ez51luzyda.jpg
https://content.jdmagicbox.com/comp/nadiad/d6/9999px268.x268.170929192113.r8d6/catalogue/krishna-hostel-nadiad-hostels-maa4pzwafl.jpg
https://content.jdmagicbox.com/comp/nadiad/d6/9999px268.x268.170929192113.r8d6/catalogue/krishna-hostel-nadiad-hostels-lo246a0l6q.jpg",,Open 24 Hrs,387001,9999PX268.X268.170929192113.R8D6,22.6842368,72.8825042,https://www.justdial.com/Nadiad/Krishna-Hostel-Akshar-Township/9999PX268-X268-170929192113-R8D6_BZDET,No,2024-03-14T11:37:27.503Z
Vrunda Girl's Hostel,College road Nadiad H O,Opposite Aryuvedic CollegeNext Ddit College Campus Near Dharmsindh Desai University Nadiad H O,,4.1,,59,,https://content.jdmagicbox.com/comp/def_content/hostels_for_women/default-hostels-for-women-4-250.jpg,https://content.jdmagicbox.com/comp/def_content/hostels_for_women/default-hostels-for-women-4.jpg,,Open 24 Hrs,387001,9999PX268.X268.180821035458.Z1U6,22.6825797,72.8788496,https://www.justdial.com/Nadiad/Vrunda-Girls-Hostel-Opposite-Aryuvedic-CollegeNext-Ddit-College-Campus-Near-Dharmsindh-Desai-University-Nadiad-H-O/9999PX268-X268-180821035458-Z1U6_BZDET,No,2024-03-14T11:37:27.503Z
Bansri Girl's Hostel,Akshar Township Akshar Township,Opposite Ayurvedic College Akshar Township,,3.6,,65,,https://content.jdmagicbox.com/comp/def_content/estate_agents_for_residence/default-estate-agents-for-residence-3-250.jpg,https://content.jdmagicbox.com/comp/def_content/estate_agents_for_residence/default-estate-agents-for-residence-3.jpg,,Open 24 Hrs,387001,9999PX268.X268.170608152507.M7C6,22.6832221,72.8787322,https://www.justdial.com/Nadiad/Bansri-Girls-Hostel-Opposite-Ayurvedic-College-Akshar-Township/9999PX268-X268-170608152507-M7C6_BZDET,No,2024-03-14T11:37:27.503Z
Vinayaka Girls Hostel,Dp Desai Road Dumral Bazar, Dumral Bazar,,3,,7,,https://content.jdmagicbox.com/comp/def_content/hostels_for_women/default-hostels-for-women-2-250.jpg,https://content.jdmagicbox.com/comp/def_content/hostels_for_women/default-hostels-for-women-2.jpg,,Open 24 Hrs,387001,9999PX268.X268.170922141858.G2M5,22.6919036,72.862842,https://www.justdial.com/Nadiad/Vinayaka-Girls-Hostel-Dumral-Bazar/9999PX268-X268-170922141858-G2M5_BZDET,No,2024-03-14T11:37:27.503Z
Vrunda Girl's Hostel,Road Desai Vago,Opposite Aryuvedic CollegeNext Ddit College Campus Desai Vago,,5,,1,,https://content.jdmagicbox.com/comp/def_content/hostels_for_women/default-hostels-for-women-0-250.jpg,https://content.jdmagicbox.com/comp/def_content/hostels_for_women/default-hostels-for-women-0.jpg,,Open 24 Hrs,387001,9999PX268.X268.180816220059.X4D9,22.6825797,72.8788496,https://www.justdial.com/Nadiad/Vrunda-Girls-Hostel-Opposite-Aryuvedic-CollegeNext-Ddit-College-Campus-Desai-Vago/9999PX268-X268-180816220059-X4D9_BZDET,No,2024-03-14T11:37:27.503Z
Gcet Girl's Hostel,Mota Bazaar Vallabh Vidyanagar, Vallabh Vidyanagar,,3.7,,34,,https://content.jdmagicbox.com/comp/def_content/hostels_for_women/default-hostels-for-women-6-250.jpg,https://content.jdmagicbox.com/comp/def_content/hostels_for_women/default-hostels-for-women-6.jpg,,6:00 am - 10:00 pm,388120,9999P2692.2692.220606221918.W6J6,22.5589937,72.9198028,https://www.justdial.com/Anand/Gcet-Girls-Hostel-Vallabh-Vidyanagar/9999P2692-2692-220606221918-W6J6_BZDET,No,2024-03-14T11:37:27.503Z
Sweet Home Girls Hostel,Vallabh Vidyanagar,Opposite Gcet Engineering College Near Bakrol Gate Vallabh Vidyanagar,,4.5,I am already staying in this hostel.best hostel in patna,41,,https://content.jdmagicbox.com/comp/anand/n4/9999p2692.2692.181222192327.b7n4/catalogue/sweet-home-girls-hostel-vallabh-vidyanagar-anand-hostels-jp1vuqn5i4-250.jpg?clr=#502d16,"https://content.jdmagicbox.com/comp/anand/n4/9999p2692.2692.181222192327.b7n4/catalogue/sweet-home-girls-hostel-vallabh-vidyanagar-anand-hostels-jp1vuqn5i4.jpg?clr=#502d16
https://content.jdmagicbox.com/comp/anand/n4/9999p2692.2692.181222192327.b7n4/catalogue/sweet-home-girls-hostel-vallabh-vidyanagar-anand-hostels-bde4px0ewx.jpg
https://content.jdmagicbox.com/comp/anand/n4/9999p2692.2692.181222192327.b7n4/catalogue/sweet-home-girls-hostel-vallabh-vidyanagar-anand-hostels-0qq5x0n860.jpg
https://content.jdmagicbox.com/comp/anand/n4/9999p2692.2692.181222192327.b7n4/catalogue/sweet-home-girls-hostel-vallabh-vidyanagar-anand-hostels-hjoj1f65aa.jpg
https://content.jdmagicbox.com/comp/anand/n4/9999p2692.2692.181222192327.b7n4/catalogue/sweet-home-girls-hostel-vallabh-vidyanagar-anand-hostels-fwqxzz2g7e.jpg",,6:00 am - 10:00 pm,388120,9999P2692.2692.181222192327.B7N4,22.5590558,72.9203556,https://www.justdial.com/Anand/Sweet-Home-Girls-Hostel-Opposite-Gcet-Engineering-College-Near-Bakrol-Gate-Vallabh-Vidyanagar/9999P2692-2692-181222192327-B7N4_BZDET,No,2024-03-14T11:37:27.503Z
Shree Jalaram Lohana Kanya Chatralaya,Mota Bazaar Vallabh Vidyanagar, Vallabh Vidyanagar,,4.5,,81,,https://content.jdmagicbox.com/comp/def_content/hostels_for_women/default-hostels-for-women-7-250.jpg,https://content.jdmagicbox.com/comp/def_content/hostels_for_women/default-hostels-for-women-7.jpg,,9:00 am - 8:00 pm,388120,9999P2692.2692.200703023722.A3E4,22.5581045,72.9195898,https://www.justdial.com/Anand/Shree-Jalaram-Lohana-Kanya-Chatralaya-Vallabh-Vidyanagar/9999P2692-2692-200703023722-A3E4_BZDET,No,2024-03-14T11:37:27.503Z
Moms Girls Residency,Temple Road Vallabh Vidyanagar,Opposite Ncc Office Behind Bvm College Vallabh Vidyanagar,,5,,5,,https://content.jdmagicbox.com/comp/anand/p1/9999p2692.2692.160623210218.u5p1/catalogue/moms-girls-residency-vallabh-vidyanagar-anand-hostel-for-girl-students-5v1s26uohn-250.jpg,https://content.jdmagicbox.com/comp/anand/p1/9999p2692.2692.160623210218.u5p1/catalogue/moms-girls-residency-vallabh-vidyanagar-anand-hostel-for-girl-students-5v1s26uohn.jpg,,8:00 am - 8:00 pm,388120,9999P2692.2692.160623210218.U5P1,22.5584045,72.9246402,https://www.justdial.com/Anand/Moms-Girls-Residency-Opposite-Ncc-Office-Behind-Bvm-College-Vallabh-Vidyanagar/9999P2692-2692-160623210218-U5P1_BZDET,No,2024-03-14T11:37:27.503Z
Ideal Hostel,Society Vallabh Vidyanagar, Vallabh Vidyanagar,,4.1,Such great facilities and services are provided here. very nice and good experience for students who are living here.,82,,https://content.jdmagicbox.com/comp/anand/b4/9999p2692.2692.170608235142.b2b4/catalogue/ideal-hostel-anand-1lsyeqk1fk-250.jpg?clr=#000066,"https://content.jdmagicbox.com/comp/anand/b4/9999p2692.2692.170608235142.b2b4/catalogue/ideal-hostel-anand-1lsyeqk1fk.jpg?clr=#000066
https://content.jdmagicbox.com/comp/anand/b4/9999p2692.2692.170608235142.b2b4/catalogue/ideal-hostel-vallabh-vidyanagar-anand-hostels-for-women-cb4hr.jpg
https://content.jdmagicbox.com/comp/anand/b4/9999p2692.2692.170608235142.b2b4/catalogue/ideal-hostel-vallabh-vidyanagar-anand-hostels-for-women-kxnsw7.jpg",,Open 24 Hrs,388120,9999P2692.2692.170608235142.B2B4,22.5555354,72.921887,https://www.justdial.com/Anand/Ideal-Hostel-Vallabh-Vidyanagar/9999P2692-2692-170608235142-B2B4_BZDET,No,2024-03-14T11:37:27.503Z
