Name,Area,Address,Phone,Rating,Review,Total Reviews,Type,Thumbnail,Images,Video,Opening Time,Pincode,Doc ID,Latitude,Longitude,Web URL,Verified,Scraped At
Mom's Kitchen,N.K.N Road,,,3.4,,4,"Restaurants, Tiffin Services",https://images.jdmagicbox.com/comp/nadiad/w1/9999px268.x268.210921211508.l7w1/catalogue/mom-s-kitchen-nadiad-take-away-joints-3jffy7unsc-250.jpg,"https://content.jdmagicbox.com/comp/nadiad/w1/9999px268.x268.210921211508.l7w1/catalogue/mom-s-kitchen-nadiad-take-away-joints-3jffy7unsc.jpg
https://content.jdmagicbox.com/comp/nadiad/w1/9999px268.x268.210921211508.l7w1/catalogue/mom-s-kitchen-nadiad-take-away-joints-fd9fr05nbn.jpg
https://content.jdmagicbox.com/comp/nadiad/w1/9999px268.x268.210921211508.l7w1/catalogue/mom-s-kitchen-nadiad-take-away-joints-5chpme5307.jpg
https://content.jdmagicbox.com/comp/nadiad/w1/9999px268.x268.210921211508.l7w1/catalogue/mom-s-kitchen-nadiad-take-away-joints-j669dq81ld.jpg
https://content.jdmagicbox.com/comp/nadiad/w1/9999px268.x268.210921211508.l7w1/catalogue/mom-s-kitchen-nadiad-take-away-joints-imhykb145h.jpg",,11:00 am - 8:00 pm,387001,9999PX268.X268.210921211508.L7W1,22.6844883,72.8715065,https://www.justdial.com/Nadiad/Moms-Kitchen/9999PX268-X268-210921211508-L7W1_BZDET,No,2024-03-15T07:45:00.154Z
Parul Tiffin,Nadiad Gujarat,,,4.1,,12,Tiffin Services,https://images.jdmagicbox.com/comp/def_content/tiffin_services/default-tiffin-services-0-250.jpg,https://content.jdmagicbox.com/comp/def_content/tiffin_services/default-tiffin-services-0.jpg,,Open 24 Hrs,387001,9999PX268.X268.221121021331.S9S9,22.6803233,72.8671321,https://www.justdial.com/Nadiad/Parul-Tiffin/9999PX268-X268-221121021331-S9S9_BZDET,No,2024-03-15T07:45:00.154Z
Sunrise Restaurant,Pij Road Nadiad HO,Nr Ramdev Pir Mandir Nadiad HO,,3,,3,"Restaurants, Tiffin Services",https://images.jdmagicbox.com/comp/def_content/pure_veg_restaurants/default-pure-veg-restaurants-4-250.jpg?clr=#5b4f0b,https://content.jdmagicbox.com/comp/def_content/pure_veg_restaurants/default-pure-veg-restaurants-4.jpg?clr=#5b4f0b,,10:00 am - 11:00 pm,387001,9999PX268.X268.170827154510.E8W3,22.69642535,72.86140085,https://www.justdial.com/Nadiad/Sunrise-Restaurant-Nr-Ramdev-Pir-Mandir-Nadiad-HO/9999PX268-X268-170827154510-E8W3_BZDET,No,2024-03-15T07:45:00.154Z
Aashtha Tiffin & LUNCHPACK SERVES,,,,4,,6,Tiffin Services,https://images.jdmagicbox.com/comp/nadiad/h9/9999px268.x268.170901040112.f3h9/catalogue/aashtha-tiffin-services-nadiad-tiffin-services-4y5o4-250.jpg,"https://content.jdmagicbox.com/comp/nadiad/h9/9999px268.x268.170901040112.f3h9/catalogue/aashtha-tiffin-services-nadiad-tiffin-services-4y5o4.jpg
https://content.jdmagicbox.com/comp/nadiad/h9/9999px268.x268.170901040112.f3h9/catalogue/aashtha-tiffin-services-nadiad-tiffin-services-ffabtsnd51.jpg
https://content.jdmagicbox.com/comp/nadiad/h9/9999px268.x268.170901040112.f3h9/catalogue/aashtha-tiffin-services-nadiad-tiffin-services-grl761vdib.jpg
https://content.jdmagicbox.com/comp/nadiad/h9/9999px268.x268.170901040112.f3h9/catalogue/aashtha-tiffin-services-nadiad-tiffin-services-tk1wywqffo.jpg
https://content.jdmagicbox.com/comp/nadiad/h9/9999px268.x268.170901040112.f3h9/catalogue/aashtha-tiffin-services-nadiad-tiffin-services-dmu4wn6pxh.jpg",,8:00 am - 8:00 pm,387001,9999PX268.X268.170901040112.F3H9,22.69642535,72.86140085,https://www.justdial.com/Nadiad/Aashtha-Tiffin-LUNCHPACK-SERVES/9999PX268-X268-170901040112-F3H9_BZDET,No,2024-03-15T07:45:00.154Z
Janvi Tifin Service,Manjipura Nadiad HO,Nr Meldimata Temple Nadiad HO,,3.7,,8,Tiffin Services,https://images.jdmagicbox.com/comp/nadiad/y4/9999px268.x268.190930225728.x2y4/catalogue/janvi-tifin-service-nadiad-ho-nadiad-osz1rui3pk-250.jpg?clr=#333333,"https://content.jdmagicbox.com/comp/nadiad/y4/9999px268.x268.190930225728.x2y4/catalogue/janvi-tifin-service-nadiad-ho-nadiad-osz1rui3pk.jpg?clr=#333333
https://content.jdmagicbox.com/comp/nadiad/y4/9999px268.x268.190930225728.x2y4/catalogue/janvi-tifin-service-nadiad-ho-nadiad-exzlhgs314.jpg
https://content.jdmagicbox.com/comp/nadiad/y4/9999px268.x268.190930225728.x2y4/catalogue/janvi-tifin-service-nadiad-ho-nadiad-tiffin-services-l3cpke0r2k.jpg
https://content.jdmagicbox.com/comp/nadiad/y4/9999px268.x268.190930225728.x2y4/catalogue/janvi-tifin-service-nadiad-ho-nadiad-tiffin-services-qvzpbxnful.jpg
https://content.jdmagicbox.com/comp/nadiad/y4/9999px268.x268.190930225728.x2y4/catalogue/janvi-tifin-service-nadiad-ho-nadiad-tiffin-services-yufnibc0iq.jpg",,7:00 am - 7:30 pm,387001,9999PX268.X268.190930225728.X2Y4,22.7203757,72.8580096,https://www.justdial.com/Nadiad/Janvi-Tifin-Service-Nr-Meldimata-Temple-Nadiad-HO/9999PX268-X268-190930225728-X2Y4_BZDET,No,2024-03-15T07:45:00.154Z
Mansingh Rajput,Nadiad Ho,Near J J College Of Science Opposite Amba Ashram Nadiad Ho,,3.4,,4,"Restaurants, Tiffin Services",https://images.jdmagicbox.com/comp/nadiad/j2/9999px268.x268.140616105420.w1j2/catalogue/mohanthal-nadiad-ho-nadiad-restaurants-1rfbbk8-250.jpg?clr=#2e382e,"https://content.jdmagicbox.com/comp/nadiad/j2/9999px268.x268.140616105420.w1j2/catalogue/mohanthal-nadiad-ho-nadiad-restaurants-1rfbbk8.jpg?clr=#2e382e
https://content.jdmagicbox.com/comp/nadiad/j2/9999px268.x268.140616105420.w1j2/catalogue/mohanthal-nadiad-ho-nadiad-restaurants-4k2m17i.jpg
https://content.jdmagicbox.com/comp/nadiad/j2/9999px268.x268.140616105420.w1j2/catalogue/mohanthal-nadiad-ho-nadiad-restaurants-1xn9vzy.jpg
https://content.jdmagicbox.com/comp/nadiad/j2/9999px268.x268.140616105420.w1j2/catalogue/mohanthal-nadiad-ho-nadiad-restaurants-lea1zk.jpg
https://content.jdmagicbox.com/comp/nadiad/j2/9999px268.x268.140616105420.w1j2/catalogue/mohanthal-nadiad-ho-nadiad-restaurants-3o94xl3.jpg",,"10:30 am - 3:00 pm , 6:30 pm - 9:30 pm",387001,9999PX268.X268.140616105420.W1J2,22.6769944,72.881552,https://www.justdial.com/Nadiad/Mansingh-Rajput-Near-J-J-College-Of-Science-Opposite-Amba-Ashram-Nadiad-Ho/9999PX268-X268-140616105420-W1J2_BZDET,No,2024-03-15T07:45:00.154Z
Janvi tifin service,Manjipura MANJIPURA NADIAD,Manjipura MANJIPURA NADIAD,,3.4,,5,Tiffin Services,https://images.jdmagicbox.com/comp/kheda/k7/9999p2694.2694.190930143012.v2k7/catalogue/janvi-tifin-service-manjipura-nadiad-kheda-48mmiu5d13-250.jpg?clr=#333333,"https://content.jdmagicbox.com/comp/kheda/k7/9999p2694.2694.190930143012.v2k7/catalogue/janvi-tifin-service-manjipura-nadiad-kheda-48mmiu5d13.jpg?clr=#333333
https://content.jdmagicbox.com/comp/kheda/k7/9999p2694.2694.190930143012.v2k7/catalogue/janvi-tifin-service-manjipura-nadiad-kheda-tiffin-services-w0zqz0dobe.jpg
https://content.jdmagicbox.com/comp/kheda/k7/9999p2694.2694.190930143012.v2k7/catalogue/janvi-tifin-service-manjipura-nadiad-kheda-tiffin-services-kg8wyg9xwf.jpg
https://content.jdmagicbox.com/comp/kheda/k7/9999p2694.2694.190930143012.v2k7/catalogue/janvi-tifin-service-manjipura-nadiad-kheda-tiffin-services-ax48ku9oyx.jpg",,7:00 am - 7:00 pm,387320,9999P2694.2694.190930143012.V2K7,22.726688,72.850095,https://www.justdial.com/Kheda/Janvi-tifin-service-Manjipura-MANJIPURA-NADIAD/9999P2694-2694-190930143012-V2K7_BZDET,No,2024-03-15T07:45:00.154Z
Kesharthad Tiffin Services Pure Veg,Narsanda Vadtal Road Vadtal, Vadtal,,4,,2,"Tiffin Services, Tiffin Services For Veg Food",https://images.jdmagicbox.com/comp/kheda/w1/9999p2694.2694.230204111943.a5w1/catalogue/kesharthad-tiffin-services-pure-veg-vadtal-kheda-tiffin-services-x7tabng51a-250.jpg?clr=#4d331a,"https://content.jdmagicbox.com/comp/kheda/w1/9999p2694.2694.230204111943.a5w1/catalogue/kesharthad-tiffin-services-pure-veg-vadtal-kheda-tiffin-services-x7tabng51a.jpg?clr=#4d331a
https://content.jdmagicbox.com/comp/kheda/w1/9999p2694.2694.230204111943.a5w1/catalogue/kesharthad-tiffin-services-pure-veg-vadtal-kheda-tiffin-services-9z331fyn9k.jpg",,9:00 am - 9:30 pm,387375,9999P2694.2694.230204111943.A5W1,22.5934274,72.8736956,https://www.justdial.com/Kheda/Kesharthad-Tiffin-Services-Pure-Veg-Vadtal/9999P2694-2694-230204111943-A5W1_BZDET,No,2024-03-15T07:45:00.154Z
Sahajanand Nasta Centre,Mota Bazaar Mota Bazaar, Mota Bazaar,,4.5,,2,Tiffin Services,https://images.jdmagicbox.com/comp/def_content/tiffin_services/default-tiffin-services-3-250.jpg,https://content.jdmagicbox.com/comp/def_content/tiffin_services/default-tiffin-services-3.jpg,,9:00 am - 5:30 pm,388120,9999P2692.2692.230205012149.R2A5,22.5616594,72.9196957,https://www.justdial.com/Anand/Sahajanand-Nasta-Centre-Mota-Bazaar/9999P2692-2692-230205012149-R2A5_BZDET,No,2024-03-15T07:45:00.154Z
Malataj Meal - Tiffin Service,Malataj Malataj Anand,Near Tower Chowk Malataj Anand,,5,,3,"Restaurants, Tiffin Services",https://images.jdmagicbox.com/comp/anand/b5/9999p2692.2692.190105162508.j5b5/catalogue/malataj-meal-tiffin-service-malataj-anand-anand-tiffin-home-delivery-services-0717p0pfbi-250.jpg?clr=#5b4f0b,"https://content.jdmagicbox.com/comp/anand/b5/9999p2692.2692.190105162508.j5b5/catalogue/malataj-meal-tiffin-service-malataj-anand-anand-tiffin-home-delivery-services-0717p0pfbi.jpg?clr=#5b4f0b
https://content.jdmagicbox.com/comp/anand/b5/9999p2692.2692.190105162508.j5b5/catalogue/malataj-meal-tiffin-service-malataj-anand-anand-tiffin-home-delivery-services-u8tn61b9oo.jpg
https://content.jdmagicbox.com/comp/anand/b5/9999p2692.2692.190105162508.j5b5/catalogue/malataj-meal-tiffin-service-malataj-anand-anand-tiffin-home-delivery-services-6oi91uicfp.jpg
https://content.jdmagicbox.com/comp/anand/b5/9999p2692.2692.190105162508.j5b5/catalogue/malataj-meal-tiffin-service-malataj-anand-anand-tiffin-home-delivery-services-1m3ib9gdrr.jpg
https://content.jdmagicbox.com/comp/anand/b5/9999p2692.2692.190105162508.j5b5/catalogue/malataj-meal-tiffin-service-malataj-anand-anand-tiffin-home-delivery-services-1gq7h31w1a.jpg",,Open 24 Hrs,387220,9999P2692.2692.190105162508.J5B5,22.58078764,72.74726103,https://www.justdial.com/Anand/Malataj-Meal-Tiffin-Service-Near-Tower-Chowk-Malataj-Anand/9999P2692-2692-190105162508-J5B5_BZDET,No,2024-03-15T07:45:00.154Z
