Name,Area,Address,Phone,Rating,Review,Total Reviews,Type,Thumbnail,Images,Video,Opening Time,Pincode,Doc ID,Latitude,Longitude,Web URL,Verified,Scraped At
Safe Pg Services,College Road Vaniya Vad,Near Vaniyavad Circle Vaniya Vad,8488091947,4.5,,8,"Paying Guest Accommodations, Paying Guest Accommodations For Men",https://images.jdmagicbox.com/comp/nadiad/m8/9999px268.x268.220703154015.v8m8/catalogue/-sh1bcd88u5-250.jpg,"https://content.jdmagicbox.com/comp/nadiad/m8/9999px268.x268.220703154015.v8m8/catalogue/-sh1bcd88u5.jpg
https://content.jdmagicbox.com/comp/nadiad/m8/9999px268.x268.220703154015.v8m8/catalogue/safe-pg-services-nadiad-paying-guest-accommodations-rz3vft62ai.jpg
https://content.jdmagicbox.com/comp/nadiad/m8/9999px268.x268.220703154015.v8m8/catalogue/safe-pg-services-nadiad-paying-guest-accommodations-sn3jv0fabv.jpg
https://content.jdmagicbox.com/comp/nadiad/m8/9999px268.x268.220703154015.v8m8/catalogue/safe-pg-services-nadiad-paying-guest-accommodations-51kqd5o47m.jpg
https://content.jdmagicbox.com/comp/nadiad/m8/9999px268.x268.220703154015.v8m8/catalogue/safe-pg-services-nadiad-paying-guest-accommodations-9vv7uoytx8.jpg",,9:00 am - 9:00 pm,387001,9999PX268.X268.220703154015.V8M8,22.72388947,72.85062469,https://www.justdial.com/Nadiad/Safe-Pg-Services-Near-Vaniyavad-Circle-Vaniya-Vad/9999PX268-X268-220703154015-V8M8_BZDET,Yes,2024-03-15T03:42:04.610Z
Vinayak PG Accommodation,College Road Nadiad City,Near DDIT Nadiad City,,3.6,,47,"Paying Guest Accommodations, Paying Guest Accommodations For Men",https://images.jdmagicbox.com/comp/nadiad/w5/9999px268.x268.170711003033.n5w5/catalogue/vinayak-pg-accommodation-college-road-nadiad-paying-guest-accommodation-for-men-q2cf1h3-250.jpg,"https://content.jdmagicbox.com/comp/nadiad/w5/9999px268.x268.170711003033.n5w5/catalogue/vinayak-pg-accommodation-college-road-nadiad-paying-guest-accommodation-for-men-q2cf1h3.jpg
https://content.jdmagicbox.com/comp/nadiad/w5/9999px268.x268.170711003033.n5w5/catalogue/vinayak-pg-accommodation-nadiad-city-nadiad-paying-guest-accommodations-for-men-u6u3la12nz.jpg
https://content.jdmagicbox.com/comp/nadiad/w5/9999px268.x268.170711003033.n5w5/catalogue/vinayak-pg-accommodation-nadiad-city-nadiad-paying-guest-accommodations-for-men-pybxuo18ft.jpg
https://content.jdmagicbox.com/comp/nadiad/w5/9999px268.x268.170711003033.n5w5/catalogue/vinayak-pg-accommodation-nadiad-city-nadiad-paying-guest-accommodations-for-men-fhux6o08fa.jpg
https://content.jdmagicbox.com/comp/nadiad/w5/9999px268.x268.170711003033.n5w5/catalogue/vinayak-pg-accommodation-nadiad-city-nadiad-paying-guest-accommodations-for-men-iwipipthbv.jpg",,Open 24 Hrs,387001,9999PX268.X268.170711003033.N5W5,22.6774573,72.8824301,https://www.justdial.com/Nadiad/Vinayak-PG-Accommodation-Near-DDIT-Nadiad-City/9999PX268-X268-170711003033-N5W5_BZDET,No,2024-03-15T03:42:04.610Z
Maximum Pg Accommodation,College Road Nadiad Ho,Opposite Nexus 4 Nadiad Ho,,4.3,,22,"Estate Agents, Paying Guest Accommodations",https://images.jdmagicbox.com/comp/nadiad/a5/9999px268.x268.210228120252.m7a5/catalogue/-pe5566t6sl-250.jpg?clr=#4c1a1a,"https://content.jdmagicbox.com/comp/nadiad/a5/9999px268.x268.210228120252.m7a5/catalogue/-pe5566t6sl.jpg?clr=#4c1a1a
https://content.jdmagicbox.com/comp/nadiad/a5/9999px268.x268.210228120252.m7a5/catalogue/-cvupgp6u13.jpg
https://content.jdmagicbox.com/comp/nadiad/a5/9999px268.x268.210228120252.m7a5/catalogue/-uuhq2m6a0w.jpg
https://content.jdmagicbox.com/comp/nadiad/a5/9999px268.x268.210228120252.m7a5/catalogue/-ltxx8f1pis.jpg
https://content.jdmagicbox.com/comp/nadiad/a5/9999px268.x268.210228120252.m7a5/catalogue/-kn96wn6jac.jpg",,Open 24 Hrs,387001,9999PX268.X268.210228120252.M7A5,22.69642535,72.86140085,https://www.justdial.com/Nadiad/Maximum-Pg-Accommodation-Opposite-Nexus-4-Nadiad-Ho/9999PX268-X268-210228120252-M7A5_BZDET,No,2024-03-15T03:42:04.610Z
Satkratu Pg & Hostel Services,Vadtal Road Vallabh Vidyanagar,Opp Bakeland Bakery Vallabh Vidyanagar,9054235580,3.4,,32,,https://images.jdmagicbox.com/comp/anand/j5/9999p2692.2692.221008122525.z8j5/catalogue/satkratu-pg-and-hostel-services-vallabh-vidyanagar-anand-hostels-nympli60x1-250.jpg,"https://content.jdmagicbox.com/comp/anand/j5/9999p2692.2692.221008122525.z8j5/catalogue/satkratu-pg-and-hostel-services-vallabh-vidyanagar-anand-hostels-nympli60x1.jpg
https://content.jdmagicbox.com/comp/anand/j5/9999p2692.2692.221008122525.z8j5/catalogue/satkratu-pg-and-hostel-services-vallabh-vidyanagar-anand-hostels-b0tni3dov0.jpg
https://content.jdmagicbox.com/comp/anand/j5/9999p2692.2692.221008122525.z8j5/catalogue/satkratu-pg-and-hostel-services-vallabh-vidyanagar-anand-hostels-o1xj6lp2jm.jpg
https://content.jdmagicbox.com/comp/anand/j5/9999p2692.2692.221008122525.z8j5/catalogue/satkratu-pg-and-hostel-services-vallabh-vidyanagar-anand-hostels-ue05fd26e1.jpg
https://content.jdmagicbox.com/comp/anand/j5/9999p2692.2692.221008122525.z8j5/catalogue/satkratu-pg-and-hostel-services-vallabh-vidyanagar-anand-hostels-621sjpnwix.jpg",,9:00 am - 8:00 pm,388120,9999P2692.2692.221008122525.Z8J5,22.56438158,72.91832228,https://www.justdial.com/Anand/Satkratu-Pg-Hostel-Services-Opp-Bakeland-Bakery-Vallabh-Vidyanagar/9999P2692-2692-221008122525-Z8J5_BZDET,Yes,2024-03-15T03:42:04.610Z
Shreeji Hostel and Paying Guest,Vadtal Road Vallabh Vidyanagar,Opposite Bakeland BakeryNear Vallabh Vidyanagar,,4.6,,47,,https://images.jdmagicbox.com/comp/anand/g8/9999p2692.2692.190815221146.j5g8/catalogue/shreeji-hostel-and-paying-guest-anand-dormitory-services-qbxsku7g5z-250.jpg?clr=#663300,"https://content.jdmagicbox.com/comp/anand/g8/9999p2692.2692.190815221146.j5g8/catalogue/shreeji-hostel-and-paying-guest-anand-dormitory-services-qbxsku7g5z.jpg?clr=#663300
https://content.jdmagicbox.com/comp/anand/g8/9999p2692.2692.190815221146.j5g8/catalogue/shreeji-hostel-and-paying-guest-anand-dormitory-services-1c68gkblam.jpg
https://content.jdmagicbox.com/comp/anand/g8/9999p2692.2692.190815221146.j5g8/catalogue/shreeji-hostel-and-paying-guest-vallabh-vidyanagar-anand-dormitory-services-j01p165l7t.jpg
https://content.jdmagicbox.com/comp/anand/g8/9999p2692.2692.190815221146.j5g8/catalogue/shreeji-hostel-and-paying-guest-anand-dormitory-services-1myhj5c53s.jpg
https://content.jdmagicbox.com/comp/anand/g8/9999p2692.2692.190815221146.j5g8/catalogue/shreeji-hostel-and-paying-guest-vallabh-vidyanagar-anand-dormitory-services-907t38191b.jpg",,Open 24 Hrs,388120,9999P2692.2692.190815221146.J5G8,22.5641614,72.9184391,https://www.justdial.com/Anand/Shreeji-Hostel-and-Paying-Guest-Opposite-Bakeland-BakeryNear-Vallabh-Vidyanagar/9999P2692-2692-190815221146-J5G8_BZDET,No,2024-03-15T03:42:04.610Z
Sai Real Estate,Bakrol Road Vallabh Vidyanagar,Near Universities Circle Vallabh Vidyanagar,8487867098,4.2,,16,"Estate Agents, Estate Agents For Residential Rental",https://images.jdmagicbox.com/comp/anand/e7/9999p2692.2692.171007114929.r5e7/catalogue/sai-real-estate-vallabh-vidyanagar-anand-estate-agents-4326elx9s6-250.jpg?clr=#33293d,"https://content.jdmagicbox.com/comp/anand/e7/9999p2692.2692.171007114929.r5e7/catalogue/sai-real-estate-vallabh-vidyanagar-anand-estate-agents-4326elx9s6.jpg?clr=#33293d
https://content.jdmagicbox.com/comp/anand/e7/9999p2692.2692.171007114929.r5e7/catalogue/sai-real-estate-vallabh-vidyanagar-anand-estate-agents-for-residential-rental-ryzi6y4pvl.jpg
https://content.jdmagicbox.com/comp/anand/e7/9999p2692.2692.171007114929.r5e7/catalogue/sai-real-estate-vallabh-vidyanagar-anand-estate-agents-for-residential-rental-i7krq.jpg
https://content.jdmagicbox.com/comp/anand/e7/9999p2692.2692.171007114929.r5e7/catalogue/sai-real-estate-vallabh-vidyanagar-anand-estate-agents-for-residential-rental-s9mpe.jpg
https://content.jdmagicbox.com/comp/anand/e7/9999p2692.2692.171007114929.r5e7/catalogue/sai-real-estate-vallabh-vidyanagar-anand-estate-agents-for-bungalow-8k6hvv2w41.jpg",1,Open 24 Hrs,388120,9999P2692.2692.171007114929.R5E7,22.55789444,72.92916389,https://www.justdial.com/Anand/Sai-Real-Estate-Near-Universities-Circle-Vallabh-Vidyanagar/9999P2692-2692-171007114929-R5E7_BZDET,Yes,2024-03-15T03:42:04.610Z
Shivay Palace,Vallabh Vidyanagar, Vallabh Vidyanagar,8128957840,2.6,,5,"Paying Guest Accommodations For Men, Paying Guest Accommodations",https://images.jdmagicbox.com/comp/anand/b3/9999p2692.2692.230313144535.c8b3/catalogue/shivay-palace-vallabh-vidyanagar-anand-paying-guest-accommodations-9ay969y4zm-250.jpg,"https://content.jdmagicbox.com/comp/anand/b3/9999p2692.2692.230313144535.c8b3/catalogue/shivay-palace-vallabh-vidyanagar-anand-paying-guest-accommodations-9ay969y4zm.jpg
https://content.jdmagicbox.com/comp/anand/b3/9999p2692.2692.230313144535.c8b3/catalogue/shivay-palace-vallabh-vidyanagar-anand-paying-guest-accommodations-g9cvvt12vb.jpg
https://content.jdmagicbox.com/comp/anand/b3/9999p2692.2692.230313144535.c8b3/catalogue/shivay-palace-vallabh-vidyanagar-anand-paying-guest-accommodations-agr6pcssk6.jpg
https://content.jdmagicbox.com/comp/anand/b3/9999p2692.2692.230313144535.c8b3/catalogue/shivay-palace-vallabh-vidyanagar-anand-paying-guest-accommodations-pqnhqmlet5.jpg
https://content.jdmagicbox.com/comp/anand/b3/9999p2692.2692.230313144535.c8b3/catalogue/shivay-palace-vallabh-vidyanagar-anand-paying-guest-accommodations-3bugj6o0yq.jpg",1,Open 24 Hrs,388120,9999P2692.2692.230313144535.C8B3,22.555255,72.925025,https://www.justdial.com/Anand/Shivay-Palace-Vallabh-Vidyanagar/9999P2692-2692-230313144535-C8B3_BZDET,Yes,2024-03-15T03:42:04.610Z
Ruchit Desai,Vallabh Vidyanagar,Near Amba Mata Mandir Behind Narayan Swarup Hostel Vallabh Vidyanagar,,5,,1,"Paying Guest Accommodations For Men, Paying Guest Accommodations",https://images.jdmagicbox.com/comp/def_content/paying_guest_accommodation_for_men/default-paying-guest-accommodation-for-men-5-250.jpg,https://content.jdmagicbox.com/comp/def_content/paying_guest_accommodation_for_men/default-paying-guest-accommodation-for-men-5.jpg,,7:00 am - 8:00 pm,388120,9999P2692.2692.160527194901.T3M1,22.55587771,72.92868369,https://www.justdial.com/Anand/Ruchit-Desai-Near-Amba-Mata-Mandir-Behind-Narayan-Swarup-Hostel-Vallabh-Vidyanagar/9999P2692-2692-160527194901-T3M1_BZDET,No,2024-03-15T03:42:04.610Z
AD'S PG ACCOMMODATIONS,Nana Bajar Vallabh Vidyanagar,Nana Bazar Vallabh Vidyanagar,,3.7,"Had a good experience with the PG.
Affordabale and convenient as it is located near various colleges.",11,,https://images.jdmagicbox.com/comp/anand/w6/9999p2692.2692.220606182115.e6w6/catalogue/ad-s-pg-accommodations-vallabh-vidyanagar-anand-hostels-nw8a66hv52-250.jpg?clr=#442239,"https://content.jdmagicbox.com/comp/anand/w6/9999p2692.2692.220606182115.e6w6/catalogue/ad-s-pg-accommodations-vallabh-vidyanagar-anand-hostels-nw8a66hv52.jpg?clr=#442239
https://content.jdmagicbox.com/comp/anand/w6/9999p2692.2692.220606182115.e6w6/catalogue/ad-s-pg-accommodations-vallabh-vidyanagar-anand-hostels-idr68xvaq7.jpg
https://content.jdmagicbox.com/comp/anand/w6/9999p2692.2692.220606182115.e6w6/catalogue/ad-s-pg-accommodations-vallabh-vidyanagar-anand-hostels-n55osnsodd.jpg
https://content.jdmagicbox.com/comp/anand/w6/9999p2692.2692.220606182115.e6w6/catalogue/ad-s-pg-accommodations-vallabh-vidyanagar-anand-hostels-h03eq9qmmb.jpg
https://content.jdmagicbox.com/comp/anand/w6/9999p2692.2692.220606182115.e6w6/catalogue/ad-s-pg-accommodations-vallabh-vidyanagar-anand-hostels-eo3okau53j.jpg",,Open 24 Hrs,388120,9999P2692.2692.220606182115.E6W6,22.5555296,72.9294488,https://www.justdial.com/Anand/ADS-PG-ACCOMMODATIONS-Nana-Bazar-Vallabh-Vidyanagar/9999P2692-2692-220606182115-E6W6_BZDET,No,2024-03-15T03:42:04.610Z
Stanza Living,Russell House Vallabh Vidyanagar,Opposite Nest Prime Hostel Dhobi Ghat Chowkdi Vallabh Vidyanagar,,3.8,"The rooms at stanza living are too luxurious and also with the reasonable rate. the bedsheets, interior and other all facilities are too also quite are also upto mark.  hospitality is also at its best. politeness staff and great dealing with peace. ",67,,https://images.jdmagicbox.com/comp/anand/k7/9999p2692.2692.201023233356.q7k7/catalogue/stanza-living-vallabh-vidyanagar-anand-hostel-for-girl-students-ijsbsygnlv-250.jpg?clr=#2e3838,"https://content.jdmagicbox.com/comp/anand/k7/9999p2692.2692.201023233356.q7k7/catalogue/stanza-living-vallabh-vidyanagar-anand-hostel-for-girl-students-ijsbsygnlv.jpg?clr=#2e3838
https://content.jdmagicbox.com/comp/anand/k7/9999p2692.2692.201023233356.q7k7/catalogue/stanza-living-vallabh-vidyanagar-anand-hostel-for-girl-students-uttfligiqz.jpg
https://content.jdmagicbox.com/comp/anand/k7/9999p2692.2692.201023233356.q7k7/catalogue/stanza-living-vallabh-vidyanagar-anand-hostel-for-girl-students-5ql0b6iw7u.jpg
https://content.jdmagicbox.com/comp/anand/k7/9999p2692.2692.201023233356.q7k7/catalogue/stanza-living-vallabh-vidyanagar-anand-hostel-for-girl-students-yqht3fq1k8.jpg
https://content.jdmagicbox.com/comp/anand/k7/9999p2692.2692.201023233356.q7k7/catalogue/stanza-living-vallabh-vidyanagar-anand-hostel-for-girl-students-extz2nljia.jpg",,7:00 am - 8:00 pm,388120,9999P2692.2692.201023233356.Q7K7,22.5520496,72.9218767,https://www.justdial.com/Anand/Stanza-Living-Opposite-Nest-Prime-Hostel-Dhobi-Ghat-Chowkdi-Vallabh-Vidyanagar/9999P2692-2692-201023233356-Q7K7_BZDET,No,2024-03-15T03:42:04.610Z
